T,PH,R,DT,LV,AV,CU,FA,FB,PS
3,0,0,3,0,0,-1358,0,0,267
70,0,0,66,0,0,-1429,0,0,263
141,0,0,71,0,0,-1470,0,0,255
212,0,0,71,0,0,-1505,0,0,253
284,0,0,72,0,0,-1540,0,0,246
356,0,0,72,0,0,-1558,0,0,243
428,0,0,72,0,0,-1593,0,0,240
499,0,0,71,0,0,-1605,0,0,235
572,0,0,73,0,0,-1628,0,0,234
644,0,0,72,0,0,-1646,0,0,229
715,0,0,71,0,0,-1657,0,0,228
787,0,0,72,0,0,-1687,0,0,226
859,0,0,72,0,0,-1681,0,0,223
930,0,0,71,0,0,-1704,0,0,224
1002,0,0,72,0,0,-1710,0,0,220
1075,0,0,73,0,0,-1710,0,0,220
1147,0,0,72,0,0,-1734,0,0,220
1220,0,0,73,0,0,-1728,0,0,216
1293,0,0,73,0,0,-1734,0,0,217
1366,0,0,72,0,0,-1751,0,0,216
1439,0.39,0,74,0,0,-1745,0,0,213
1512,0.39,0,73,22.08,990,-1757,0,0,215
1588,0.39,0,76,22.08,990,-1769,0,0,215
1664,0.39,0,75,22.08,990,-1763,0,0,214
1739,0.39,0,76,22.08,990,-1763,0,0,212
1815,0.39,0,76,22.08,990,-1757,0,0,211
1891,0.39,0,76,22.08,990,-1769,0,0,213
1967,0.39,0,76,22.08,990,-1781,0,0,213
2043,0.39,0,76,22.08,990,-1775,0,0,212
2119,0.39,0,76,22.08,990,-1769,0,0,211
2195,0.39,0,76,22.08,990,-1769,0,0,209
2271,0.39,0,76,22.08,990,-1781,0,0,211
2347,0.39,0,75,22.08,990,-1786,0,0,212
2422,0.39,0,76,22.08,990,-1781,0,0,210
2498,0.39,0,76,22.08,990,-1775,0,0,209
2575,0.39,0,77,22.08,990,-1775,0,0,209
2651,0.39,0,76,22.08,990,-1786,0,0,211
2726,0.39,0,75,22.08,990,-1792,0,0,211
2802,0.39,0,76,22.08,990,-1786,0,0,209
2878,0.39,0,76,22.08,990,-1781,0,0,209
2954,0.39,0,76,22.08,990,-1781,0,0,209
3030,0.79,0,75,22.08,990,-1786,0,0,211
3106,0.79,0,77,22.08,990,-1792,0,0,211
3182,0.79,0,76,22.08,990,-1786,0,0,209
3258,0.79,0,76,22.08,990,-1781,0,0,208
3334,0.79,0,76,22.08,990,-1781,0,0,209
3409,0.79,0,75,22.08,990,-1792,0,0,210
3485,0.79,0,76,22.08,990,-1798,0,0,210
3561,0.79,0,76,22.08,990,-1786,0,0,209
3638,0.79,0,77,22.08,990,-1781,0,0,207
3714,0.79,0,76,22.08,990,-1786,0,0,209
3789,0.79,0,75,22.08,990,-1792,0,0,210
3865,0.79,0,76,22.08,990,-1798,0,0,210
3941,0.79,0,76,22.08,990,-1786,0,0,208
4017,0.79,0,76,22.08,990,-1781,0,0,207
4092,0.79,0,75,22.08,990,-1786,0,0,209
4169,0.79,0,77,22.08,990,-1792,0,0,210
4245,0.79,0,76,22.08,990,-1798,0,0,210
4321,0.79,0,76,22.08,990,-1786,0,0,208
4397,0.79,0,76,22.08,990,-1781,0,0,207
4472,0.79,0,75,22.08,990,-1786,0,0,209
4548,0.79,0,76,22.08,990,-1792,0,0,210
4624,1.18,0,76,22.08,990,-1798,0,0,210
4701,1.18,0,77,22.08,990,-1786,0,0,208
4776,1.18,0,75,22.08,990,-1781,0,0,207
4852,1.18,0,76,22.08,990,-1786,0,0,209
4928,1.18,0,76,22.08,990,-1792,0,0,210
5004,1.18,0,76,22.08,990,-1792,0,0,210
5080,1.18,0,76,22.08,990,-1786,0,0,208
5155,1.18,0,75,22.08,990,-1781,0,0,207
5232,1.18,0,77,22.08,990,-1786,0,0,209
5308,1.18,0,76,22.08,990,-1792,0,0,210
5384,1.18,0,76,22.08,990,-1763,0,0,209
5459,1.18,0,75,22.08,990,-1781,0,0,208
5535,1.18,0,76,22.08,990,-1781,0,0,207
5611,1.18,0,76,22.08,990,-1786,0,0,209
5687,1.18,0,76,22.08,990,-1798,0,0,210
5764,1.18,0,77,22.08,990,-1792,0,0,209
5839,1.18,0,75,22.08,990,-1786,0,0,208
5915,1.18,0,76,22.08,990,-1781,0,0,207
5991,1.18,0,76,22.08,990,-1792,0,0,209
6067,1.18,0,76,22.08,990,-1798,0,0,210
6142,1.18,0,75,22.08,990,-1792,0,0,209
6218,1.57,0,76,22.08,990,-1786,0,0,212
6295,1.57,0,76,22.08,990,-1786,0,0,207
6371,1.57,0,77,22.08,990,-1792,0,0,209
6447,1.57,0,76,22.08,990,-1798,0,0,209
6522,1.57,0,75,22.08,990,-1798,0,0,209
6598,1.57,0,76,22.08,990,-1786,0,0,207
6674,1.57,0,76,22.08,990,-1781,0,0,207
6750,1.57,0,76,22.08,990,-1792,0,0,209
6825,1.57,0,75,22.08,990,-1798,0,0,210
6902,1.57,0,77,22.08,990,-1792,0,0,209
6978,1.57,0,76,22.08,990,-1786,0,0,207
7054,1.57,0,76,22.08,990,-1781,0,0,207
7130,1.57,0,76,22.08,990,-1792,0,0,209
7205,1.57,0,75,22.08,990,-1798,0,0,210
7281,1.57,0,76,22.08,990,-1792,0,0,208
7357,1.57,0,76,22.08,990,-1786,0,0,207
7434,1.57,0,77,22.08,990,-1786,0,0,207
7510,1.57,0,75,22.08,990,-1792,0,0,209
7585,1.57,0,76,22.08,990,-1798,0,0,210
7661,1.57,0,76,22.08,990,-1792,0,0,209
7737,1.57,0,76,22.08,990,-1786,0,0,207
7813,1.97,0,76,22.08,990,-1786,0,0,207
7888,1.97,0,75,22.08,990,-1792,0,0,209
7965,1.97,0,77,22.08,990,-1798,0,0,210
8041,1.97,0,76,22.08,990,-1792,0,0,208
8117,1.97,0,76,22.08,990,-1781,0,0,207
8193,1.97,0,76,22.08,990,-1786,0,0,207
8268,1.97,0,75,22.08,990,-1792,0,0,209
8344,1.97,0,76,22.08,990,-1798,0,0,210
8420,1.97,0,76,22.08,990,-1786,0,0,208
8497,1.97,0,77,22.08,990,-1781,0,0,207
8572,1.97,0,75,22.08,990,-1786,0,0,207
8648,1.97,0,76,22.08,990,-1792,0,0,209
8724,1.97,0,76,22.08,990,-1798,0,0,210
8800,1.97,0,76,22.08,990,-1792,0,0,208
8876,1.97,0,76,22.08,990,-1781,0,0,207
8951,1.97,0,75,22.08,990,-1786,0,0,208
9028,1.97,0,77,22.08,990,-1792,0,0,209
9104,1.97,0,76,22.08,990,-1798,0,0,210
9180,1.97,0,76,22.08,990,-1792,0,0,208
9255,1.97,0,75,22.08,990,-1751,0,0,207
9331,1.97,0,76,22.08,990,-1786,0,0,208
9407,2.36,0,76,22.08,990,-1792,0,0,209
9483,2.36,0,76,22.08,990,-1798,0,0,210
9560,2.36,0,77,22.08,990,-1792,0,0,208
9635,2.36,0,75,22.08,990,-1786,0,0,207
9711,2.36,0,76,22.08,990,-1792,0,0,209
9787,2.36,0,76,22.08,990,-1798,0,0,209
9863,2.36,0,76,22.08,990,-1798,0,0,210
9938,2.36,0,75,22.08,990,-1792,0,0,208
10014,2.36,0,76,22.08,990,-1786,0,0,207
10092,2.36,0,78,22.08,990,-1792,0,0,207
10169,2.36,0,77,22.08,990,-1792,0,0,209
10246,2.36,0,77,22.08,990,-1798,0,0,210
10322,2.36,0,76,22.08,990,-1798,0,0,210
10399,2.36,0,77,22.08,990,-1792,0,0,209
10476,2.36,0,77,22.08,990,-1786,0,0,207
10553,2.36,0,77,22.08,990,-1786,0,0,207
10631,2.36,0,78,22.08,990,-1792,0,0,208
10707,2.36,0,76,22.08,990,-1798,0,0,209
10784,2.36,0,77,22.08,990,-1804,0,0,210
10861,2.36,0,77,22.08,990,-1798,0,0,210
10938,2.36,0,77,22.08,990,-1792,0,0,213
11015,2.76,0,77,22.08,990,-1786,0,0,207
11092,2.76,0,77,22.08,990,-1786,0,0,207
11169,2.76,0,77,22.08,990,-1792,0,0,209
11246,2.76,0,77,22.08,990,-1798,0,0,209
11323,2.76,0,77,22.08,990,-1804,0,0,210
11400,2.76,0,77,22.08,990,-1792,0,0,209
11476,2.76,0,76,22.08,990,-1786,0,0,208
11554,2.76,0,78,22.08,990,-1781,0,0,207
11631,2.76,0,77,22.08,990,-1786,0,0,207
11708,2.76,0,77,22.08,990,-1792,0,0,209
11785,2.76,0,77,22.08,990,-1798,0,0,210
11862,2.76,0,76,22.08,990,-1798,0,0,210
11938,2.76,0,77,22.08,990,-1792,0,0,209
12015,2.76,0,77,22.08,990,-1786,0,0,207
12093,2.76,0,78,22.08,990,-1781,0,0,207
12170,2.76,0,77,22.08,990,-1792,0,0,208
12247,2.76,0,77,22.08,990,-1798,0,0,209
12323,2.76,0,76,22.08,990,-1798,0,0,210
12400,2.76,0,77,22.08,990,-1792,0,0,210
12477,2.76,0,77,22.08,990,-1792,0,0,209
12555,2.76,0,78,22.08,990,-1781,0,0,207
12632,3.15,0,77,22.08,990,-1786,0,0,207
12708,3.15,0,76,22.08,990,-1786,0,0,208
12785,3.15,0,77,22.08,990,-1792,0,0,210
12862,3.15,0,77,22.08,990,-1769,0,0,210
12939,3.15,0,77,22.08,990,-1786,0,0,209
13016,3.15,0,77,22.08,990,-1781,0,0,208
13093,3.15,0,77,22.08,990,-1781,0,0,207
13170,3.15,0,77,22.08,990,-1786,0,0,207
13247,3.15,0,77,22.08,990,-1792,0,0,209
13324,3.15,0,77,22.08,990,-1798,0,0,209
13401,3.15,0,77,22.08,990,-1798,0,0,210
13477,3.15,0,76,22.08,990,-1786,0,0,208
13555,3.15,0,78,22.08,990,-1786,0,0,207
13632,3.15,0,77,22.08,990,-1781,0,0,207
13709,3.15,0,77,22.08,990,-1786,0,0,208
13786,3.15,0,77,22.08,990,-1792,0,0,209
13862,3.15,0,76,22.08,990,-1798,0,0,210
13939,3.15,0,77,22.08,990,-1792,0,0,209
14017,3.15,0,78,22.08,990,-1786,0,0,209
14094,3.15,0,77,22.08,990,-1786,0,0,207
14171,3.15,0,77,22.08,990,-1786,0,0,207
14247,3.54,0,76,22.08,990,-1792,0,0,208
14324,3.54,0,77,22.08,990,-1798,0,0,209
14401,3.54,0,77,22.08,990,-1798,0,0,210
14478,3.54,0,77,22.08,990,-1792,0,0,209
14556,3.54,0,78,22.08,990,-1786,0,0,207
14632,3.54,0,76,22.08,990,-1781,0,0,207
14709,3.54,0,77,22.08,990,-1786,0,0,207
14786,3.54,0,77,22.08,990,-1792,0,0,209
14863,3.54,0,77,22.08,990,-1798,0,0,214
14940,3.54,0,77,22.08,990,-1798,0,0,210
15017,3.54,0,77,22.08,990,-1792,0,0,209
15094,3.54,0,77,22.08,990,-1786,0,0,207
15171,3.54,0,77,22.08,990,-1781,0,0,207
15248,3.54,0,77,22.08,990,-1792,0,0,208
15325,3.54,0,77,22.08,990,-1792,0,0,209
15401,3.54,0,76,22.08,990,-1798,0,0,210
15478,3.54,0,77,22.08,990,-1792,0,0,209
15556,3.54,0,78,22.08,990,-1786,0,0,208
15633,3.54,0,77,22.08,990,-1781,0,0,207
15710,3.54,0,77,22.08,990,-1786,0,0,209
15787,3.54,0,76,22.08,990,-1792,0,0,205
15863,3.94,0,77,22.08,990,-1816,0,0,206
15940,3.94,0,77,22.08,990,-1810,0,0,210
16018,3.94,0,78,1.8,80.55,-1786,0,0,208
